date,best buy stock,bby
2021-12-23,83,38
2021-12-24,75,31
2021-12-25,54,24
2021-12-26,59,33
2021-12-27,89,37
2021-12-28,72,37
2021-12-29,73,38
2021-12-30,80,44
2021-12-31,69,31
2022-01-01,60,29
2022-01-02,63,30
2022-01-03,78,33
2022-01-04,87,50
2022-01-05,100,38
2022-01-06,74,38
2022-01-07,93,52
2022-01-08,64,36
2022-01-09,65,31
2022-01-10,65,29
2022-01-11,82,42
2022-01-12,60,36
2022-01-13,83,50
2022-01-14,66,32
2022-01-15,51,29
2022-01-16,44,35
2022-01-17,44,28
2022-01-18,58,35
2022-01-19,64,37
2022-01-20,69,32
2022-01-21,89,35
